pool,team,source,collected_date
A,New Zealand,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
A,Australia,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
A,Chile,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
A,Hong Kong China,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
B,South Africa,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
B,Italy,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
B,Georgia,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
B,Romania,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
C,Argentina,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
C,Fiji,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
C,Spain,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
C,Canada,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
D,Ireland,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
D,Scotland,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
D,Uruguay,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
D,Portugal,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
E,France,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
E,Japan,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
E,USA,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
E,Samoa,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
F,England,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
F,Wales,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
F,Tonga,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
F,Zimbabwe,World Rugby (2025). RWC 2027 Pools. https://www.rugbyworldcup.com/2027/en/pools,2025-06-01
