team,rwc_year,stage_code,stage_label,source,collected_date
New Zealand,1987,5,Winner,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
France,1987,4,Final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Australia,1987,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Wales,1987,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
England,1987,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Scotland,1987,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Ireland,1987,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Fiji,1987,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Canada,1987,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Argentina,1987,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Tonga,1987,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Romania,1987,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Samoa,1987,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Italy,1987,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
USA,1987,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Zimbabwe,1987,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Australia,1991,5,Winner,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
England,1991,4,Final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Scotland,1991,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
New Zealand,1991,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Ireland,1991,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
