team,rank,rating_pts,snapshot_date,source,note
South Africa,1,93.94,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
New Zealand,2,90.33,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Ireland,3,89.07,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
France,4,87.46,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Argentina,5,84.97,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
England,6,83.91,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Scotland,7,82.9,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Australia,8,81.53,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Fiji,9,81.14,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Italy,10,79.64,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Wales,11,75.07,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Japan,12,74.09,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Georgia,13,71.94,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Portugal,14,69.64,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Uruguay,15,69.19,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
USA,16,68.26,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Spain,17,67.51,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Chile,18,66.72,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Tonga,19,66.66,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Samoa,20,66.43,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Romania,22,60.67,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Hong Kong China,23,59.61,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Zimbabwe,24,58.8,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Canada,25,58.75,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
Namibia,26,56.96,2024-10-01,World Rugby (2024). Men's Rankings. https://www.world.rugby/rankings/mru,Used as prior for RWC 2027 simulation in NB05
