team,matches,win_rate,avg_margin,avg_elo_diff,rwc_pedigree
New Zealand,343,0.808,18.437,276.666,18.029
South Africa,332,0.623,7.702,91.118,10.711
England,329,0.617,7.043,94.206,14.234
France,324,0.571,4.009,43.427,15.318
Ireland,290,0.562,3.793,25.31,8.883
Australia,354,0.559,4.282,59.039,17.506
Wales,317,0.429,-1.861,-54.741,9.23
Samoa,36,0.389,-3.639,-33.096,6.028
Scotland,277,0.386,-3.303,-102.553,11.271
Fiji,37,0.351,-6.486,-82.24,5.081
Hong Kong,3,0.333,-22.0,83.324,0.0
Argentina,245,0.322,-6.673,-162.376,7.861
Portugal,11,0.273,-8.818,-14.912,0.182
Tonga,33,0.273,-17.424,-129.374,3.788
Japan,37,0.27,-18.946,-142.714,3.541
Canada,32,0.219,-14.812,-81.578,4.375
Uruguay,19,0.211,-33.105,-127.758,1.737
Georgia,24,0.208,-18.042,-119.461,2.917
Romania,32,0.188,-29.938,-123.088,3.812
Italy,250,0.16,-18.972,-305.969,5.052
USA,32,0.156,-17.188,-136.231,4.531
Spain,3,0.0,-34.667,-84.493,0.0
Namibia,26,0.0,-49.731,-207.459,1.538
Russia,8,0.0,-35.0,-74.095,0.25
Kenya,3,0.0,-47.667,83.688,0.0
Ivory Coast,3,0.0,-47.667,-36.289,0.0
Chile,4,0.0,-47.0,-51.544,0.0
Zimbabwe,6,0.0,-37.5,-35.185,0.5
