feature,coefficient,odds_ratio
cat__tournament_1998 Tri Nations Series,1.2966159102048398,3.656900425040155
cat__tournament_2009 Tri Nations Series,1.2955792847586627,3.6531115531652123
cat__opponent_Italy,0.9158614959615378,2.4989271404898443
cat__tournament_1997 South Africa rugby union tour of Europe,0.9134550544905466,2.492920848379711
cat__opponent_Wales,0.8860237420227113,2.425466172562525
cat__tournament_1999 Rugby World Cup,0.8490413757586996,2.337405084415667
num__home,0.8420263362451461,2.3210654739030265
cat__opponent_Scotland,0.828333408845267,2.2894998986444186
cat__tournament_2005 Tri Nations Series,0.794898552883424,2.214216359544715
cat__opponent_Argentina,0.766938973600083,2.1531652603262614
cat__tournament_1996 South Africa rugby union tour of Argentina and Europe,0.7542025327668896,2.1259154992323492
cat__tournament_2013 end-of-year test,0.6579656980222879,1.9308603832736673
cat__tournament_2012 Autumn International,0.5429269688651279,1.721036918661065
cat__tournament_1995 Rugby World Cup Final,0.532999234671437,1.7040354542432232
cat__tournament_2010 end-of-year test,0.5211396324261179,1.683945635642013
cat__tournament_2010 mid-year test,0.4922050919022345,1.6359195986643966
cat__tournament_2008 Autumn International,0.45114278521907664,1.5701054539398227
cat__tournament_1999 Rugby World Cup Quarter-final,0.41957844657524895,1.5213201027253545
num__h2h_winrate,0.4129966286553283,1.5113399306775823
cat__tournament_2007 Rugby World Cup Pool Stage,0.4102886534730816,1.5072527960805204
cat__tournament_2005 end-of-year test,0.40603324660025447,1.5008524498699973
num__rolling_margin_3,0.40100794466533546,1.4933291324530253
cat__tournament_1996 South Africa tour of Argentina and Europe,0.3891248752419503,1.475688816825761
cat__tournament_2012 end-of-year test,0.38409385984500455,1.4682832480527308
"cat__tournament_2000 South Africa tour of Argentina, Great Britain and Ireland",0.36264824764922793,1.4371302563768784
cat__tournament_1993 South Africa tour of Argentina,0.35109135810347536,1.4206171048683907
cat__tournament_2014 Rugby Championship,0.3422076889562016,1.4080527041446382
cat__tournament_2007 England rugby union tour of South Africa,0.30914318995557594,1.3622574181178424
cat__tournament_2000 end-of-year test,0.30228552654457774,1.352947473982175
cat__tournament_2007 Rugby World Cup Final,0.27935165186464533,1.322272241623003
cat__tournament_2004 Ireland rugby union tour of South Africa,0.251761895614015,1.2862897295934217
cat__tournament_1998 South Africa tour of Great Britain and Ireland,0.2488053515763141,1.2824923736537728
cat__tournament_1995 Rugby World Cup semi-final,0.2464495693002678,1.2794746567883286
cat__tournament_2007 Rugby World Cup warm-up test,0.24196659864383485,1.2737516470732262
cat__tournament_2011 Rugby World Cup Pool match,0.2297050166736796,1.2582287986653005
cat__tournament_2015 Rugby World Cup warm-up match,0.22299801891883597,1.2498180977424393
cat__tournament_2015 Rugby World Cup,0.2209648591557264,1.2472795993357704
cat__tournament_2015 Rugby World Cup Bronze final,0.2166783584270401,1.2419445768820052
cat__tournament_2013 Autumn International,0.212054410284004,1.2362151460658297
cat__tournament_2013 Rugby Championship,0.21032455974218162,1.2340785271740708
cat__tournament_2004 Autumn Internationals,0.21017390861151056,1.233892625852089
cat__tournament_2003 Scotland rugby union tour of South Africa,0.20131996768346266,1.2230160348317325
cat__tournament_2008 end-of-year test,0.20102597395994432,1.2226565286426008
cat__tournament_1998 Ireland rugby union tour of South Africa,0.20095020951450468,1.2225638982578342
cat__tournament_2015 Rugby World Cup Quarter-final,0.18727120213614865,1.205954298086342
cat__tournament_1994 South Africa rugby union tour of Britain and Ireland,0.18429668585583717,1.2023724970969558
cat__tournament_2007 Rugby World Cup Semi-finals,0.16300405865943446,1.1770414668892268
cat__tournament_1994 South Africa tour of Great Britain and Ireland,0.1587841794732782,1.1720849593884763
cat__tournament_2007 end-of-year test,0.1540281813034583,1.1665237604753107
cat__tournament_2001 autumn internationals,0.14885789774356295,1.160508066676543
